City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Gat,IL,2022-01-30 07:42:19,31.61,34.7642,59.92,37,0,3.53
212,Barwala,IN,2022-01-30 07:42:20,29.3833,75.9167,70.68,32,3,11.32
213,Bethel,US,2022-01-30 07:30:34,41.3712,-73.414,12.56,49,0,1.99
214,Touros,BR,2022-01-30 07:37:22,-5.1989,-35.4608,76.1,83,98,9.17
215,Balkanabat,TM,2022-01-30 07:42:21,39.5108,54.3671,48.79,46,0,7.63
216,Srednekolymsk,RU,2022-01-30 07:37:56,67.45,153.6833,-28.71,100,80,1.86
217,Salta,AR,2022-01-30 07:40:28,-24.7859,-65.4117,65.57,89,75,4.61
218,Galbshtadt,RU,2022-01-30 07:42:23,53.2264,78.9845,17.69,94,42,12.21
219,Opuwo,NA,2022-01-30 07:38:04,-18.0607,13.84,74.44,28,91,7.72
220,Mandalgovi,MN,2022-01-30 07:42:25,45.7625,106.2708,5.94,60,12,20.56
221,Oksfjord,NO,2022-01-30 07:42:26,70.2396,22.3479,29.32,82,100,5.23
222,Tinskoy,RU,2022-01-30 07:42:26,56.1525,96.9161,12.69,84,100,1.57
223,Kismayo,SO,2022-01-30 07:36:30,-0.3582,42.5454,83.16,62,37,17.65
224,Toora-Khem,RU,2022-01-30 07:42:27,52.4675,96.11,-0.06,86,34,1.7
225,Yulara,AU,2022-01-30 07:37:48,-25.2406,130.9889,91.24,43,100,20.71
226,Ostrovnoy,RU,2022-01-30 07:37:55,68.0531,39.5131,19.96,93,100,10.96
227,Iqaluit,CA,2022-01-30 07:37:00,63.7506,-68.5145,-15.07,64,100,4.61
228,Grindavik,IS,2022-01-30 07:42:28,63.8424,-22.4338,36.07,87,75,21.85
229,Nardaran,AZ,2022-01-30 07:42:29,40.5561,50.0056,44.24,70,0,6.91
230,Oktyabrskoye,RU,2022-01-30 07:37:56,43.0645,44.7417,30.34,69,75,2.24
231,Margate,GB,2022-01-30 07:38:58,51.3813,1.3862,38.3,82,5,1.01
232,Beira,MZ,2022-01-30 07:42:30,-19.8436,34.8389,86.09,62,40,8.05
233,Mount Gambier,AU,2022-01-30 07:36:01,-37.8333,140.7667,78.71,57,9,13.8
234,Mackay,AU,2022-01-30 07:42:32,-21.15,149.2,84.18,70,100,13.8
235,Karratha,AU,2022-01-30 07:36:26,-20.7377,116.8463,86.5,62,96,28.66
236,Lisakovsk,KZ,2022-01-30 07:42:33,52.5369,62.4936,12.56,85,100,6.93
237,Bulungu,CD,2022-01-30 07:42:33,-4.55,18.6,82.83,59,99,2.42
238,Zheleznodorozhnyy,RU,2022-01-30 07:42:34,55.7503,38.0042,25.02,93,100,8.97
239,Laguna,US,2022-01-30 07:38:43,38.421,-121.4238,52.41,85,0,1.01
240,Chifeng,CN,2022-01-30 07:42:35,42.2683,118.9636,26.01,21,3,5.26
241,Samarai,PG,2022-01-30 07:42:36,-10.6167,150.6667,83.7,71,100,8.63
